N,Triton,Torch (native),Torch (compiled)
256.000000,186.181817,186.181817,186.181817
384.000000,135.032965,138.067414,114.841122
512.000000,197.397593,197.397593,197.397593
640.000000,200.599941,198.834954,198.834954
768.000000,199.804870,199.830261,199.804870
896.000000,201.915487,201.915487,201.871050
1024.000000,203.448985,203.527946,202.271609
1152.000000,203.668513,202.549447,202.619028
1280.000000,203.781092,203.781092,202.772282
1408.000000,203.873308,203.873308,203.873308
1536.000000,203.950206,203.950206,203.950206
1664.000000,204.799999,204.799999,204.799999
1792.000000,204.799995,204.799995,204.799995
1920.000000,204.799990,204.874682,204.799990
2048.000000,204.800005,205.441998,204.800005
2176.000000,204.800001,204.894167,205.404135
2304.000000,205.370475,205.370475,205.370475
2432.000000,205.883600,205.340367,205.340367
2560.000000,205.313277,205.829144,205.313277
2688.000000,205.779899,205.779899,204.800002
2816.000000,205.735165,204.799998,205.735165
2944.000000,206.144426,205.736436,205.694325
3072.000000,206.088053,205.663627,205.656903
3200.000000,206.036217,206.036217,206.036217
3328.000000,205.988403,206.000858,205.988403
3456.000000,206.166081,206.328356,205.944129
3584.000000,206.273387,206.273387,206.273387
3712.000000,206.222215,206.558408,206.222215
3840.000000,206.521012,206.174497,206.521012
3968.000000,206.465032,206.465032,206.161242
4096.000000,206.412597,206.412597,206.412597
4224.000000,206.363365,206.678907,206.363365
4352.000000,206.623142,206.623142,206.317032
4480.000000,206.570609,206.570609,206.291939
4608.000000,206.521002,206.521002,206.521002
4736.000000,206.474114,206.619255,206.474114
4864.000000,206.703859,206.703859,206.703859
4992.000000,206.654591,206.654591,206.654591
5120.000000,206.347609,206.347609,206.607822
5248.000000,206.563340,206.817731,206.563340
5376.000000,206.765342,206.769233,206.769233
5504.000000,206.722998,206.722998,206.722998
5632.000000,206.678898,206.916189,206.678898
5760.000000,206.868693,206.868693,206.868693
5888.000000,206.823269,206.823269,206.823269
6016.000000,206.779809,206.779809,206.779809
6144.000000,206.738165,206.955786,206.738165
6272.000000,206.911342,206.911342,206.911342
6400.000000,206.868693,206.868693,206.868693
6528.000000,206.827721,206.827721,206.926941
6656.000000,206.989303,206.989303,206.989303
6784.000000,206.947578,206.947578,206.947578
6912.000000,206.907392,206.907392,206.907392
7040.000000,206.868682,207.058820,207.058820
7168.000000,206.831390,207.018040,207.018040
7296.000000,206.975866,206.978728,206.978728
7424.000000,206.940765,206.940765,206.940765
7552.000000,206.904101,207.081398,206.904101
7680.000000,207.042973,207.042973,207.042973
7808.000000,207.005801,207.177448,207.005801
7936.000000,206.972472,207.138659,206.969840
8064.000000,207.101114,207.101114,207.018040
8192.000000,207.064775,207.064775,207.064775
8320.000000,207.029547,207.034588,207.029547
8448.000000,207.154016,206.995398,207.151540
8576.000000,207.118497,207.118497,207.118497
8704.000000,207.238097,207.230881,207.235692
8832.000000,207.074245,207.202342,207.202342
8960.000000,207.167638,207.167638,207.018058
9088.000000,207.133906,207.281544,207.133906
9216.000000,207.246661,207.101121,207.101121
9344.000000,206.925960,207.212745,207.212745
9472.000000,207.179773,207.179773,207.179773
9600.000000,207.147674,207.147674,207.147674
9728.000000,207.254324,207.254324,207.254324
9856.000000,207.222083,207.222083,207.222083
9984.000000,207.190664,207.304100,207.190664
10112.000000,207.160049,207.292759,207.160049
10240.000000,207.130208,207.130208,207.130208
10368.000000,206.971930,207.101127,207.101127
10496.000000,207.200493,207.200493,207.200493
10624.000000,207.171232,207.171232,207.297557
10752.000000,207.267476,207.267476,207.267476
10880.000000,207.238097,207.238097,207.238097
11008.000000,207.209409,207.331370,207.209409
11136.000000,207.061017,207.241647,207.181402
11264.000000,207.154026,207.154026,207.221017
11392.000000,207.127271,207.245025,207.245025
11520.000000,207.217533,207.275790,207.217533
11648.000000,207.190666,207.305901,207.248267
11776.000000,207.164376,207.278329,207.278329
11904.000000,207.138659,207.364179,207.355361
12032.000000,207.224979,207.336558,207.336558
12160.000000,207.199150,207.309539,207.309539
12288.000000,207.173865,207.283078,207.283078
12416.000000,207.257168,207.257168,207.365340
12544.000000,207.124874,207.335494,207.231806
12672.000000,207.206949,207.312884,207.312884
